 8.91250938e+02  8.91250938e+02  0.00000000e+00  8.91250938e+02  9.99999686e-01 -5.59989304e-04  8.91250938e+02 -3.13588119e-10 -5.59989304e-07 
 9.44060876e+02  9.44060876e+02  0.00000000e+00  9.44060876e+02  9.99999648e-01 -5.93170734e-04  9.44060876e+02 -3.51851644e-10 -5.93170734e-07 
 1.00000000e+03  1.00000000e+03  0.00000000e+00  1.00000000e+03  9.99999605e-01 -6.28318283e-04  1.00000000e+03 -3.94784020e-10 -6.28318283e-07 
 1.05925373e+03  1.05925373e+03  0.00000000e+00  1.05925373e+03  9.99999557e-01 -6.65548449e-04  1.05925373e+03 -4.42954935e-10 -6.65548449e-07 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  1.12201845e+03  9.99999503e-01 -7.04984636e-04  1.12201845e+03 -4.97003584e-10 -7.04984636e-07 
 1.18850223e+03  1.18850223e+03  0.00000000e+00  1.18850223e+03  9.99999442e-01 -7.46757557e-04  1.18850223e+03 -5.57647160e-10 -7.46757557e-07 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  1.25892541e+03  9.99999374e-01 -7.91005670e-04  1.25892541e+03 -6.25690362e-10 -7.91005670e-07 
 1.33352143e+03  1.33352143e+03  0.00000000e+00  1.33352143e+03  9.99999298e-01 -8.37875639e-04  1.33352143e+03 -7.02036079e-10 -8.37875639e-07 
 1.41253754e+03  1.41253754e+03  0.00000000e+00  1.41253754e+03  9.99999212e-01 -8.87522816e-04  1.41253754e+03 -7.87697369e-10 -8.87522816e-07 
 1.49623566e+03  1.49623566e+03  0.00000000e+00  1.49623566e+03  9.99999116e-01 -9.40111758e-04  1.49623566e+03 -8.83810899e-10 -9.40111758e-07 
 1.58489319e+03  1.58489319e+03  0.00000000e+00  1.58489319e+03  9.99999008e-01 -9.95816775e-04  1.58489319e+03 -9.91652032e-10 -9.95816775e-07 
 1.67880402e+03  1.67880402e+03  0.00000000e+00  1.67880402e+03  9.99998887e-01 -1.05482250e-03  1.67880402e+03 -1.11265175e-09 -1.05482250e-06 
 1.77827941e+03  1.77827941e+03  0.00000000e+00  1.77827941e+03  9.99998752e-01 -1.11732451e-03  1.77827941e+03 -1.24841562e-09 -1.11732451e-06 
 1.88364909e+03  1.88364909e+03  0.00000000e+00  1.88364909e+03  9.99998599e-01 -1.18352997e-03  1.88364909e+03 -1.40074515e-09 -1.18352997e-06 
 1.99526231e+03  1.99526231e+03  0.00000000e+00  1.99526231e+03  9.99998428e-01 -1.25365832e-03  1.99526231e+03 -1.57166164e-09 -1.25365832e-06 
 2.11348904e+03  2.11348904e+03  0.00000000e+00  2.11348904e+03  9.99998237e-01 -1.32794199e-03  2.11348904e+03 -1.76343303e-09 -1.32794199e-06 
 2.23872114e+03  2.23872114e+03  0.00000000e+00  2.23872114e+03  9.99998021e-01 -1.40662719e-03  2.23872114e+03 -1.97860398e-09 -1.40662719e-06 
 2.37137371e+03  2.37137371e+03  0.00000000e+00  2.37137371e+03  9.99997780e-01 -1.48997473e-03  2.37137371e+03 -2.22002964e-09 -1.48997473e-06 
 2.51188643e+03  2.51188643e+03  0.00000000e+00  2.51188643e+03  9.99997509e-01 -1.57826086e-03  2.51188643e+03 -2.49091355e-09 -1.57826086e-06 
 2.66072506e+03  2.66072506e+03  0.00000000e+00  2.66072506e+03  9.99997205e-01 -1.67177819e-03  2.66072506e+03 -2.79485012e-09 -1.67177819e-06 
 2.81838293e+03  2.81838293e+03  0.00000000e+00  2.81838293e+03  9.99996864e-01 -1.77083667e-03  2.81838293e+03 -3.13587234e-09 -1.77083667e-06 
 2.98538262e+03  2.98538262e+03  0.00000000e+00  2.98538262e+03  9.99996481e-01 -1.87576462e-03  2.98538262e+03 -3.51850529e-09 -1.87576462e-06 
 3.16227766e+03  3.16227766e+03  0.00000000e+00  3.16227766e+03  9.99996052e-01 -1.98690981e-03  3.16227766e+03 -3.94782618e-09 -1.98690981e-06 
 3.34965439e+03  3.34965439e+03  0.00000000e+00  3.34965439e+03  9.99995570e-01 -2.10464060e-03  3.34965439e+03 -4.42953169e-09 -2.10464060e-06 
 3.54813389e+03  3.54813389e+03  0.00000000e+00  3.54813389e+03  9.99995030e-01 -2.22934719e-03  3.54813389e+03 -4.97001361e-09 -2.22934719e-06 
 3.75837404e+03  3.75837404e+03  0.00000000e+00  3.75837404e+03  9.99994424e-01 -2.36144289e-03  3.75837404e+03 -5.57644361e-09 -2.36144289e-06 
 3.98107171e+03  3.98107171e+03  0.00000000e+00  3.98107171e+03  9.99993743e-01 -2.50136547e-03  3.98107171e+03 -6.25686838e-09 -2.50136547e-06 
 4.21696503e+03  4.21696503e+03  0.00000000e+00  4.21696503e+03  9.99992980e-01 -2.64957867e-03  4.21696503e+03 -7.02031643e-09 -2.64957867e-06 
 4.46683592e+03  4.46683592e+03  0.00000000e+00  4.46683592e+03  9.99992123e-01 -2.80657368e-03  4.46683592e+03 -7.87691784e-09 -2.80657368e-06 
 4.73151259e+03  4.73151259e+03  0.00000000e+00  4.73151259e+03  9.99991162e-01 -2.97287076e-03  4.73151259e+03 -8.83803869e-09 -2.97287076e-06 
 5.01187234e+03  5.01187234e+03  0.00000000e+00  5.01187234e+03  9.99990084e-01 -3.14902104e-03  5.01187234e+03 -9.91643182e-09 -3.14902104e-06 
 5.30884444e+03  5.30884444e+03  0.00000000e+00  5.30884444e+03  9.99988874e-01 -3.33560823e-03  5.30884444e+03 -1.11264060e-08 -3.33560823e-06 
 5.62341325e+03  5.62341325e+03  0.00000000e+00  5.62341325e+03  9.99987516e-01 -3.53325064e-03  5.62341325e+03 -1.24840160e-08 -3.53325064e-06 
 5.95662144e+03  5.95662144e+03  0.00000000e+00  5.95662144e+03  9.99985993e-01 -3.74260320e-03  5.95662144e+03 -1.40072749e-08 -3.74260320e-06 
 6.30957344e+03  6.30957344e+03  0.00000000e+00  6.30957344e+03  9.99984284e-01 -3.96435961e-03  6.30957344e+03 -1.57163941e-08 -3.96435961e-06 
 6.68343918e+03  6.68343918e+03  0.00000000e+00  6.68343918e+03  9.99982366e-01 -4.19925463e-03  6.68343918e+03 -1.76340504e-08 -4.19925463e-06 
 7.07945784e+03  7.07945784e+03  0.00000000e+00  7.07945784e+03  9.99980214e-01 -4.44806654e-03  7.07945784e+03 -1.97856874e-08 -4.44806654e-06 
 7.49894209e+03  7.49894209e+03  0.00000000e+00  7.49894209e+03  9.99977800e-01 -4.71161968e-03  7.49894209e+03 -2.21998528e-08 -4.71161968e-06 
 7.94328235e+03  7.94328235e+03  0.00000000e+00  7.94328235e+03  9.99975091e-01 -4.99078718e-03  7.94328235e+03 -2.49085771e-08 -4.99078718e-06 
 8.41395142e+03  8.41395142e+03  0.00000000e+00  8.41395142e+03  9.99972052e-01 -5.28649384e-03  8.41395142e+03 -2.79477982e-08 -5.28649384e-06 
 8.91250938e+03  8.91250938e+03  0.00000000e+00  8.91250938e+03  9.99968642e-01 -5.59971920e-03  8.91250938e+03 -3.13578384e-08 -5.59971920e-06 
 9.44060876e+03  9.44060876e+03  0.00000000e+00  9.44060876e+03  9.99964816e-01 -5.93150073e-03  9.44060876e+03 -3.51839388e-08 -5.93150073e-06 
 1.00000000e+04  1.00000000e+04  0.00000000e+00  1.00000000e+04  9.99960523e-01 -6.28293727e-03  1.00000000e+04 -3.94768591e-08 -6.28293727e-06 
 1.05925373e+04  1.05925373e+04  0.00000000e+00  1.05925373e+04  9.99955706e-01 -6.65519265e-03  1.05925373e+04 -4.42935511e-08 -6.65519265e-06 
 1.12201845e+04  1.12201845e+04  0.00000000e+00  1.12201845e+04  9.99950302e-01 -7.04949950e-03  1.12201845e+04 -4.96979131e-08 -7.04949950e-06 
