 3.34965439e+01  3.34965439e+01  0.00000000e+00  3.34965439e+01  9.07441016e-01  1.73307229e-07  3.34965439e+01 -9.07441016e-05 -1.73307229e-11  3.34965439e+01  9.99092559e-01 -1.73307229e-10  3.34965439e+01  9.08348457e-01  1.73480537e-07 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  3.54813389e+01  9.07441016e-01  1.83576328e-07  3.54813389e+01 -9.07441016e-05 -1.83576328e-11  3.54813389e+01  9.99092559e-01 -1.83576328e-10  3.54813389e+01  9.08348457e-01  1.83759905e-07 
 3.75837404e+01  3.75837404e+01  0.00000000e+00  3.75837404e+01  9.07441016e-01  1.94453910e-07  3.75837404e+01 -9.07441016e-05 -1.94453910e-11  3.75837404e+01  9.99092559e-01 -1.94453910e-10  3.75837404e+01  9.08348457e-01  1.94648364e-07 
 3.98107171e+01  3.98107171e+01  0.00000000e+00  3.98107171e+01  9.07441016e-01  2.05976028e-07  3.98107171e+01 -9.07441016e-05 -2.05976028e-11  3.98107171e+01  9.99092559e-01 -2.05976028e-10  3.98107171e+01  9.08348457e-01  2.06182004e-07 
 4.21696503e+01  4.21696503e+01  0.00000000e+00  4.21696503e+01  9.07441016e-01  2.18180875e-07  4.21696503e+01 -9.07441016e-05 -2.18180875e-11  4.21696503e+01  9.99092559e-01 -2.18180875e-10  4.21696503e+01  9.08348457e-01  2.18399056e-07 
 4.46683592e+01  4.46683592e+01  0.00000000e+00  4.46683592e+01  9.07441016e-01  2.31108905e-07  4.46683592e+01 -9.07441016e-05 -2.31108905e-11  4.46683592e+01  9.99092559e-01 -2.31108905e-10  4.46683592e+01  9.08348457e-01  2.31340014e-07 
 4.73151259e+01  4.73151259e+01  0.00000000e+00  4.73151259e+01  9.07441016e-01  2.44802968e-07  4.73151259e+01 -9.07441016e-05 -2.44802968e-11  4.73151259e+01  9.99092559e-01 -2.44802968e-10  4.73151259e+01  9.08348457e-01  2.45047771e-07 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  5.01187234e+01  9.07441016e-01  2.59308456e-07  5.01187234e+01 -9.07441016e-05 -2.59308456e-11  5.01187234e+01  9.99092559e-01 -2.59308456e-10  5.01187234e+01  9.08348457e-01  2.59567764e-07 
 5.30884444e+01  5.30884444e+01  0.00000000e+00  5.30884444e+01  9.07441016e-01  2.74673448e-07  5.30884444e+01 -9.07441016e-05 -2.74673448e-11  5.30884444e+01  9.99092559e-01 -2.74673448e-10  5.30884444e+01  9.08348457e-01  2.74948121e-07 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  5.62341325e+01  9.07441016e-01  2.90948873e-07  5.62341325e+01 -9.07441016e-05 -2.90948873e-11  5.62341325e+01  9.99092559e-01 -2.90948873e-10  5.62341325e+01  9.08348457e-01  2.91239822e-07 
 5.95662144e+01  5.95662144e+01  0.00000000e+00  5.95662144e+01  9.07441016e-01  3.08188678e-07  5.95662144e+01 -9.07441016e-05 -3.08188678e-11  5.95662144e+01  9.99092559e-01 -3.08188678e-10  5.95662144e+01  9.08348457e-01  3.08496866e-07 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  6.30957344e+01  9.07441016e-01  3.26450005e-07  6.30957344e+01 -9.07441016e-05 -3.26450005e-11  6.30957344e+01  9.99092559e-01 -3.26450005e-10  6.30957344e+01  9.08348457e-01  3.26776455e-07 
 6.68343918e+01  6.68343918e+01  0.00000000e+00  6.68343918e+01  9.07441016e-01  3.45793384e-07  6.68343918e+01 -9.07441016e-05 -3.45793384e-11  6.68343918e+01  9.99092559e-01 -3.45793384e-10  6.68343918e+01  9.08348457e-01  3.46139177e-07 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  7.07945784e+01  9.07441016e-01  3.66282930e-07  7.07945784e+01 -9.07441016e-05 -3.66282930e-11  7.07945784e+01  9.99092559e-01 -3.66282930e-10  7.07945784e+01  9.08348457e-01  3.66649213e-07 
