 4.73151259e+01  4.73151259e+01  0.00000000e+00  4.73151259e+01  1.00000000e+00 -1.48644852e-05  4.73151259e+01 -4.41905627e-13 -2.97289704e-08  4.73151259e+01  1.00000000e+00 -1.48644852e-05 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  5.01187234e+01  1.00000000e+00 -1.57452613e-05  5.01187234e+01 -4.95826470e-13 -3.14905226e-08  5.01187234e+01  1.00000000e+00 -1.57452613e-05 
 5.30884444e+01  5.30884444e+01  0.00000000e+00  5.30884444e+01  1.00000000e+00 -1.66782267e-05  5.30884444e+01 -5.56326686e-13 -3.33564534e-08  5.30884444e+01  1.00000000e+00 -1.66782267e-05 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  5.62341325e+01  1.00000000e+00 -1.76664738e-05  5.62341325e+01 -6.24208584e-13 -3.53329475e-08  5.62341325e+01  1.00000000e+00 -1.76664738e-05 
 5.95662144e+01  5.95662144e+01  0.00000000e+00  5.95662144e+01  1.00000000e+00 -1.87132781e-05  5.95662144e+01 -7.00373353e-13 -3.74265563e-08  5.95662144e+01  1.00000000e+00 -1.87132781e-05 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  6.30957344e+01  1.00000000e+00 -1.98221096e-05  6.30957344e+01 -7.85831903e-13 -3.96442191e-08  6.30957344e+01  1.00000000e+00 -1.98221096e-05 
 6.68343918e+01  6.68343918e+01  0.00000000e+00  6.68343918e+01  1.00000000e+00 -2.09966434e-05  6.68343918e+01 -8.81717876e-13 -4.19932868e-08  6.68343918e+01  1.00000000e+00 -2.09966434e-05 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  7.07945784e+01  1.00000000e+00 -2.22407727e-05  7.07945784e+01 -9.89304125e-13 -4.44815455e-08  7.07945784e+01  1.00000000e+00 -2.22407727e-05 
 7.49894209e+01  7.49894209e+01  0.00000000e+00  7.49894209e+01  9.99999999e-01 -2.35586214e-05  7.49894209e+01 -1.11001746e-12 -4.71172428e-08  7.49894209e+01  9.99999999e-01 -2.35586214e-05 
 7.94328235e+01  7.94328235e+01  0.00000000e+00  7.94328235e+01  9.99999999e-01 -2.49545575e-05  7.94328235e+01 -1.24545990e-12 -4.99091149e-08  7.94328235e+01  9.99999999e-01 -2.49545575e-05 
 8.41395142e+01  8.41395142e+01  0.00000000e+00  8.41395142e+01  9.99999999e-01 -2.64332079e-05  8.41395142e+01 -1.39742905e-12 -5.28664159e-08  8.41395142e+01  9.99999999e-01 -2.64332079e-05 
 8.91250938e+01  8.91250938e+01  0.00000000e+00  8.91250938e+01  9.99999999e-01 -2.79994740e-05  8.91250938e+01 -1.56794109e-12 -5.59989480e-08  8.91250938e+01  9.99999999e-01 -2.79994740e-05 
 9.44060876e+01  9.44060876e+01  0.00000000e+00  9.44060876e+01  9.99999999e-01 -2.96585471e-05  9.44060876e+01 -1.75925897e-12 -5.93170942e-08  9.44060876e+01  9.99999999e-01 -2.96585471e-05 
 1.00000000e+02  1.00000000e+02  0.00000000e+00  1.00000000e+02  9.99999999e-01 -3.14159265e-05  1.00000000e+02 -1.97392103e-12 -6.28318530e-08  1.00000000e+02  9.99999999e-01 -3.14159265e-05 
 1.05925373e+02  1.05925373e+02  0.00000000e+00  1.05925373e+02  9.99999999e-01 -3.32774372e-05  1.05925373e+02 -2.21477567e-12 -6.65548744e-08  1.05925373e+02  9.99999999e-01 -3.32774372e-05 
 1.12201845e+02  1.12201845e+02  0.00000000e+00  1.12201845e+02  9.99999999e-01 -3.52492493e-05  1.12201845e+02 -2.48501913e-12 -7.04984986e-08  1.12201845e+02  9.99999999e-01 -3.52492493e-05 
